X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1847083.59,6311728.492,3851,10561,3661,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,6x týdně,SAKO,A,A,A,A,A,N,A,2021/02/08 00:00:00+00,2022/02/08 00:00:00+00,2021/04/07 00:00:00+00,2021/02/11 00:00:00+00,2022/02/11 00:00:00+00,,2019/01/13 00:00:00+00,7,7,7,7,7,,7,Chodská 19,Chodská,2819,A,2023/05/16 00:00:00+00,{BD4AE1C3-89F8-4B92-B60F-8CFCC622E3AC}
1848706.662,6309425.586,3852,26104,10861,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/08/04 00:00:00+00,,,,,,,7,,,,Lidická 38 - v domě,Lidická,1874,N,2023/05/16 00:00:00+00,{CA768A94-7D18-43AF-BA37-7C1ED6FC567B}
1847048.714,6313660.653,3853,11294,3814,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,6x týdně,SAKO,A,A,A,A,A,N,A,2022/09/19 00:00:00+00,2019/01/15 00:00:00+00,2021/04/07 00:00:00+00,2022/09/22 00:00:00+00,2019/01/11 00:00:00+00,,2019/01/13 00:00:00+00,7,7,7,7,7,,7,Kosmova 1,Palackého třída,259,A,2023/05/16 00:00:00+00,{C2EF96DD-BC31-424E-9E0A-554BD01E4A25}
1845233.56,6308378.097,3854,11414,3840,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,EKO-KOM,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Preslova 37,Preslova,303,A,2023/05/16 00:00:00+00,{A323D231-E17B-4079-9A8C-B49E9012CC41}
1842540.252,6311848.3,3855,26106,10863,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Svratecká 11a,Svratecká,1061,A,2023/05/16 00:00:00+00,{A986BEB9-5C0D-4B25-8EEB-F83256FE5487}
1845951.805,6307976.36,3856,10354,4674,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Preslova 4,Preslova,387,A,2023/05/16 00:00:00+00,{63F70833-729D-4DDE-866D-11C64C7F0579}
1847887.484,6310842.735,3857,13904,4811,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/08 00:00:00+00,,,2021/02/11 00:00:00+00,,2022/10/22 00:00:00+00,,7,,,7,,7,,Ptašínského x Chaloupeckého nám.,Ptašínského,211,A,2023/05/16 00:00:00+00,{FA5E2FCC-BE6C-4CEE-9639-08DCC1C95B13}
1850557.037,6309132.886,3858,26110,10864,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2022/08/10 00:00:00+00,,,,,,,7,,,,,Spolková 11 - v domě,Spolková,928,N,2023/05/16 00:00:00+00,{84F07E81-ADEC-4B1F-90C5-C538C2B47488}
1847887.484,6310842.735,3859,12921,4811,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,EKO-KOM,A,N,N,A,N,A,N,2021/02/08 00:00:00+00,,,2021/02/11 00:00:00+00,,2022/10/22 00:00:00+00,,7,,,7,,7,,Ptašínského x Chaloupeckého nám.,Ptašínského,211,A,2023/05/16 00:00:00+00,{7C34ED0E-8E94-4F1F-B413-F61DFEB473DD}
1847156.627,6311207.8,3860,25046,3236,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,5x týdně,SAKO,A,N,A,A,A,A,N,2021/02/08 00:00:00+00,,2021/04/07 00:00:00+00,2021/02/11 00:00:00+00,2021/11/26 00:00:00+00,2021/11/27 00:00:00+00,,7,,7,7,7,7,,Tábor 45,Tábor,520,A,2023/05/16 00:00:00+00,{17B61552-5BC5-4ED1-B913-DB585D0364C4}
1848481.674,6307004.25,3861,17611,7448,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/01/16 00:00:00+00,,,,,,,7,,,,,Hybešova 19 - v domě,Hybešova,257,N,2023/05/16 00:00:00+00,{845E779A-0100-44B2-87FD-DA23EAF806CF}
1848109.978,6311527.72,3862,25135,7853,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,4x týdně,SAKO,A,N,A,A,N,A,N,2021/02/08 00:00:00+00,,2021/04/07 00:00:00+00,2021/02/11 00:00:00+00,,2021/04/03 00:00:00+00,,7,,7,7,,7,,U Červeného mlýna 2,U Červeného mlýna,64,A,2023/05/16 00:00:00+00,{5AE6E964-8045-4445-9F1F-0FE8792FD0E3}
1839939.294,6314750.84,3863,12116,2769,,Papír,1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2019/04/09 00:00:00+00,,,2019/04/12 00:00:00+00,,,,7,,,7,,,Rekreační x Ondrova,Ondrova,159,A,2023/05/16 00:00:00+00,{536A2782-5692-4CBD-B9F3-5A95755ACBDB}
1847195.344,6312487.143,3864,22792,10032,,Sklo barevné,240,1x týdně,SAKO,A,N,N,N,N,N,N,2019/09/09 00:00:00+00,,,,,,,7,,,,,,,Slovinská 36,Slovinská,2817,A,2023/05/16 00:00:00+00,{6E518101-9E87-45AD-AB3A-BBDAE6BEEDA3}
1844689.509,6310039.335,3865,22500,3494,,Sklo barevné,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/08/14 00:00:00+00,,,,,,,7,,,,,Bráfova x Nohavicova,Nohavicova,1515,A,2023/05/16 00:00:00+00,{E609F858-C59D-4554-9DF2-5F9B41306A67}
1847656.986,6308542.405,3866,8516,2666,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Údolní 35,Údolní,599,A,2023/05/16 00:00:00+00,{EB09CAC0-30B4-4121-981A-D74C3F0407CD}
1836481.967,6312027.946,3867,8253,3899,,Sklo barevné,1550,1x14 sudý,EKO-KOM,N,N,N,A,N,N,N,,,,2022/02/10 00:00:00+00,,,,,,,14,,,,"Říčanská 25,27",Říčanská,980,A,2023/05/16 00:00:00+00,{D5043F89-3059-43AF-94AB-1C0D0697C49E}
1845515.288,6309021.175,3868,17561,7149,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,RudišovaxSedlákova,Sedlákova,705,A,2023/05/16 00:00:00+00,{365A28F2-7FE7-4DA3-B5F5-7DDF41CB2C04}
1856504.425,6305762.558,3869,25817,10795,,Biologický odpad,240,1x týdně,SAKO,A,N,N,N,N,N,N,2022/04/04 00:00:00+00,,,,,,,7,,,,,,,Tilhonova 64,Tilhonova,521,A,2023/05/16 00:00:00+00,{D9071FB0-B91A-4998-A825-F878F8D7C796}
1850746.981,6313300.408,3870,4775,2602,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Šrámkova  14,Šrámkova,431,A,2023/05/16 00:00:00+00,{8F735C20-A52C-4315-980F-03F6C411591C}
1845592.688,6311928.485,3871,25846,3379,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2022/04/06 00:00:00+00,,,,,,,7,,,,,Poznaňská 10,Poznaňská,2459,A,2023/05/16 00:00:00+00,{FDA24ACC-98A6-4BE2-B16E-9DC9F147378C}
1850754.495,6314597.389,3872,6252,3091,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Brechtova x Okružní,Brechtova,38,A,2023/05/16 00:00:00+00,{65E87B13-0B8D-463F-B1C3-0FA7ABE859A9}
1845123.855,6308980.747,3873,23639,8545,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/05/19 00:00:00+00,,,,,,,14,,,,,Kaplanova 1a - v domě,Kaplanova,869,N,2023/05/16 00:00:00+00,{3FEDCB79-E6F4-4780-B38E-AC93217FBBFB}
